p1choice,p2choice,value
000,000,--
001,000,[20207 18940   853]
010,000,[28189 11162   649]
011,000,[32124  7112   764]
100,000,[39998     1     1]
101,000,[29035 10103   862]
110,000,[39534   372    94]
111,000,[19398 19422  1180]
000,001,[18940 20207   853]
001,001,--
010,001,[ 4963 34542   495]
011,001,[ 1468 38201   331]
100,001,[39886    92    22]
101,001,[ 2761 36659   580]
110,001,[19096 18993  1911]
111,001,[  379 39504   117]
000,010,[11162 28189   649]
001,010,[34542  4963   495]
010,010,--
011,010,[19561 19328  1111]
100,010,[22339 16791   870]
101,010,[19593 19444   963]
110,010,[36713  2702   585]
111,010,[10162 29023   815]
000,011,[ 7112 32124   764]
001,011,[38201  1468   331]
010,011,[19328 19561  1111]
011,011,--
100,011,[19406 19404  1190]
101,011,[16888 22244   868]
110,011,[   79 39904    17]
111,011,[    1 39999     0]
000,100,[    1 39998     1]
001,100,[   92 39886    22]
010,100,[16791 22339   870]
011,100,[19404 19406  1190]
100,100,--
101,100,[19480 19443  1077]
110,100,[38292  1380   328]
111,100,[ 7160 32020   820]
000,101,[10103 29035   862]
001,101,[36659  2761   580]
010,101,[19444 19593   963]
011,101,[22244 16888   868]
100,101,[19443 19480  1077]
101,101,--
110,101,[34420  5032   548]
111,101,[10947 28356   697]
000,110,[  372 39534    94]
001,110,[18993 19096  1911]
010,110,[ 2702 36713   585]
011,110,[39904    79    17]
100,110,[ 1380 38292   328]
101,110,[ 5032 34420   548]
110,110,--
111,110,[18852 20391   757]
000,111,[19422 19398  1180]
001,111,[39504   379   117]
010,111,[29023 10162   815]
011,111,[39999     1     0]
100,111,[32020  7160   820]
101,111,[28356 10947   697]
110,111,[20391 18852   757]
111,111,--
